DELETE board;

INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목1', '본문1', '작성자아이디1', '작성자닉네임1' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목2', '본문2', '작성자아이디2', '작성자닉네임2' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목3', '본문3', '작성자아이디3', '작성자닉네임3' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목4', '본문4', '작성자아이디4', '작성자닉네임4' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목5', '본문5', '작성자아이디5', '작성자닉네임5' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목6', '본문6', '작성자아이디6', '작성자닉네임6' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목7', '본문7', '작성자아이디7', '작성자닉네임7' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목8', '본문8', '작성자아이디8', '작성자닉네임8' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목9', '본문9', '작성자아이디9', '작성자닉네임9' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목10', '본문10', '작성자아이디10', '작성자닉네임10' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목11', '본문11', '작성자아이디11', '작성자닉네임11' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목12', '본문12', '작성자아이디12', '작성자닉네임12' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목13', '본문13', '작성자아이디13', '작성자닉네임13' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목14', '본문14', '작성자아이디14', '작성자닉네임14' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목15', '본문15', '작성자아이디15', '작성자닉네임15' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목16', '본문16', '작성자아이디16', '작성자닉네임16' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목17', '본문17', '작성자아이디17', '작성자닉네임17' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목18', '본문18', '작성자아이디18', '작성자닉네임18' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목19', '본문19', '작성자아이디19', '작성자닉네임19' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목20', '본문20', '작성자아이디20', '작성자닉네임20' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목21', '본문21', '작성자아이디21', '작성자닉네임21' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목22', '본문22', '작성자아이디22', '작성자닉네임22' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목23', '본문23', '작성자아이디23', '작성자닉네임23' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목24', '본문24', '작성자아이디24', '작성자닉네임24' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목25', '본문25', '작성자아이디25', '작성자닉네임25' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목26', '본문26', '작성자아이디26', '작성자닉네임26' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목27', '본문27', '작성자아이디27', '작성자닉네임27' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목28', '본문28', '작성자아이디28', '작성자닉네임28' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목29', '본문29', '작성자아이디29', '작성자닉네임29' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목30', '본문30', '작성자아이디30', '작성자닉네임30' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목31', '본문31', '작성자아이디31', '작성자닉네임31' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목32', '본문32', '작성자아이디32', '작성자닉네임32' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목33', '본문33', '작성자아이디33', '작성자닉네임33' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목34', '본문34', '작성자아이디34', '작성자닉네임34' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목35', '본문35', '작성자아이디35', '작성자닉네임35' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목36', '본문36', '작성자아이디36', '작성자닉네임36' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목37', '본문37', '작성자아이디37', '작성자닉네임37' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목38', '본문38', '작성자아이디38', '작성자닉네임38' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목39', '본문39', '작성자아이디39', '작성자닉네임39' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목40', '본문40', '작성자아이디40', '작성자닉네임40' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목41', '본문41', '작성자아이디41', '작성자닉네임41' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목42', '본문42', '작성자아이디42', '작성자닉네임42' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목43', '본문43', '작성자아이디43', '작성자닉네임43' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목44', '본문44', '작성자아이디44', '작성자닉네임44' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목45', '본문45', '작성자아이디45', '작성자닉네임45' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목46', '본문46', '작성자아이디46', '작성자닉네임46' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목47', '본문47', '작성자아이디47', '작성자닉네임47' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목48', '본문48', '작성자아이디48', '작성자닉네임48' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목49', '본문49', '작성자아이디49', '작성자닉네임49' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목50', '본문50', '작성자아이디50', '작성자닉네임50' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목51', '본문51', '작성자아이디51', '작성자닉네임51' );
